"","X","Year","Player","Age","G","GS","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Improvement","NextSeasonChange","PG","SG","SF","C","LAL","PHO","TOT","DAL","IND","HOU","CHI","ORL","POR","PHI","NJN","UTA","DET","BOS","ATL","GSW","NYK","DEN","MIN","CHA","LAC","SDC","SEA","NOH","NOP","BRK","CLE","CHH","MIA","MIL","SAS","TOR","WAS","OKC","SAC","MEM","WSB","KCK","VAN","NOK"
"8421",8420,1987,"A.C. Green",23,79,72,28.4,15.7,0.599,0.48,0.112,0.188,0.153,0.046,0.015,0.02,0.125,0.147,4.3,3.3,7.6,0.163,0.6,1,1.7,2.1,4,7.4,0.538,0,0.1,0,4,7.4,0.543,0.538,2.8,3.6,0.78,2.7,5.1,7.8,1.1,0.9,1,1.3,2.2,10.8,0.6875,0.0555555555555556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8808",8807,1988,"A.C. Green",24,82,64,32.1,14.5,0.581,0.592,0.111,0.191,0.153,0.045,0.016,0.01,0.129,0.147,4.5,3.4,7.9,0.144,0.2,0.8,1,2,3.9,7.8,0.503,0,0,0,3.9,7.8,0.505,0.503,3.6,4.6,0.773,3,5.7,8.7,1.1,1.1,0.5,1.5,2.5,11.4,0.0555555555555556,0.166666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9243",9242,1989,"A.C. Green",25,82,82,30.6,17.8,0.594,0.474,0.123,0.2,0.164,0.055,0.018,0.012,0.115,0.17,5.8,3.5,9.4,0.179,1.6,0.6,2.2,2.7,4.9,9.2,0.529,0,0.2,0.235,4.8,9,0.536,0.532,3.4,4.4,0.786,3.1,5.9,9,1.3,1.1,0.7,1.5,2.1,13.3,0.166666666666667,-0.0300751879699248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9689",9688,1990,"A.C. Green",26,82,82,33,14.7,0.548,0.459,0.115,0.184,0.151,0.046,0.012,0.011,0.107,0.171,4.4,3.3,7.7,0.137,0.3,0,0.4,1.6,4.7,9.8,0.478,0.2,0.6,0.283,4.5,9.3,0.489,0.486,3.4,4.5,0.751,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9,-0.0300751879699248,-0.294573643410853,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10167",10166,1991,"A.C. Green",27,82,21,26.4,13.8,0.556,0.557,0.113,0.162,0.138,0.045,0.014,0.006,0.128,0.156,3.2,2.9,6.1,0.135,0,0.6,0.5,1.4,3.1,6.6,0.476,0.1,0.7,0.2,3,5.9,0.507,0.486,2.7,3.7,0.738,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,9.1,-0.294573643410853,0.494505494505495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10618",10617,1992,"A.C. Green",28,82,53,35.4,16.7,0.556,0.569,0.118,0.182,0.149,0.06,0.016,0.008,0.1,0.168,5.8,2.9,8.8,0.145,1.2,0.2,1.4,2.5,4.7,9.8,0.476,0.1,0.7,0.214,4.5,9.1,0.495,0.483,4.1,5.6,0.744,3.7,5.6,9.3,1.4,1.1,0.4,1.4,1.7,13.6,0.494505494505495,-0.0588235294117646,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11061",11060,1993,"A.C. Green",29,82,55,34.4,16.3,0.603,0.531,0.115,0.173,0.144,0.059,0.016,0.009,0.118,0.15,6.1,2.6,8.6,0.147,1.6,0.5,2.1,2.9,4.6,8.6,0.537,0.2,0.6,0.348,4.4,8,0.55,0.548,3.4,4.6,0.739,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,-0.0588235294117646,0.1484375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11530",11529,1994,"A.C. Green",30,82,55,34.5,17,0.555,0.391,0.111,0.188,0.15,0.069,0.012,0.008,0.084,0.176,6.7,2.6,9.3,0.157,1.5,-0.3,1.2,2.3,5.7,11.3,0.502,0.1,0.4,0.229,5.6,10.9,0.513,0.506,3.2,4.4,0.735,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,14.7,0.1484375,-0.238095238095238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12000",11999,1995,"A.C. Green",31,82,52,32.8,14.2,0.596,0.556,0.083,0.204,0.143,0.065,0.01,0.008,0.129,0.142,4.6,2.1,6.7,0.12,0.6,0.2,0.7,1.9,3.8,7.5,0.504,0.5,1.5,0.339,3.3,6,0.547,0.539,3.1,4.2,0.732,2.4,5.8,8.2,1.5,0.7,0.4,1.4,1.8,11.2,-0.238095238095238,-0.330357142857143,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12478",12477,1996,"A.C. Green",32,82,36,25.8,12.9,0.558,0.534,0.092,0.209,0.152,0.049,0.011,0.008,0.126,0.132,2.7,1.7,4.4,0.1,-1.1,-0.3,-1.4,0.3,2.6,5.4,0.484,0.2,0.6,0.269,2.5,4.8,0.513,0.5,2,2.9,0.709,2,4.7,6.8,0.9,0.5,0.3,1,1.7,7.5,-0.330357142857143,-0.0399999999999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
